"Ptch_ID","site_id","wood_name","connectivity","buffer","summaryMethod","region"
952,"A01","Asloun",0.0458724309782997,750,"mean","Aberdeen"
1817,"A02","Torphins",0.0518571726792254,750,"mean","Aberdeen"
2241,"A03","Haugh Plantation",0.0936683929976759,750,"mean","Aberdeen"
2340,"A04","Ballogie",0.0571310186664988,750,"mean","Aberdeen"
2140,"A05","Aboyne",0.0812600322715845,750,"mean","Aberdeen"
1550,"A06","Moss of Air",0.0519656469145508,750,"mean","Aberdeen"
1504,"A07","Gask Wood",0.0362405470021686,750,"mean","Aberdeen"
1717,"A08","Muir of Dinnet",0.0480805593130833,750,"mean","Aberdeen"
1678,"A09","Muirton Wood",0.0292447244425083,750,"mean","Aberdeen"
1249,"A10","Craigievar",0.017818207519044,750,"mean","Aberdeen"
2120,"A11","Cairnton Wood",0.0968758346407819,750,"mean","Aberdeen"
1185,"A12","Blackburn",0.016094120738342,750,"mean","Aberdeen"
2109,"A13","Peterculter",0.0772325271854218,750,"mean","Aberdeen"
2638,"A14","Black Hillocks",0.0119855699596432,750,"mean","Aberdeen"
716,"A15","Whitehaugh Woods",0.0350097679284785,750,"mean","Aberdeen"
2351,"A16","Shooting Greens",0.0260471573853801,750,"mean","Aberdeen"
987,"A17","Slacks",0.0202884925609292,750,"mean","Aberdeen"
697,"A18","Castle Forbes",0.038653225846511,750,"mean","Aberdeen"
708,"A19","Forbes Farm",0.0359401559733779,750,"mean","Aberdeen"
254,"A20","Pitfichie",0.0532530394284268,750,"mean","Aberdeen"
1969,"A21","Newmillhill",0.0972824208904205,750,"mean","Aberdeen"
1432,"A22","Drummy Hillock",0.0187891167531422,750,"mean","Aberdeen"
1526,"A23","Mill Maud",0.0466889702037837,750,"mean","Aberdeen"
972,"A24","Wellhouse Wood",0.0472686164681613,750,"mean","Aberdeen"
1751,"A25","Stot Hill",0.0715210629100172,750,"mean","Aberdeen"
1818,"A26","Katy's Eggs",0.0848722467341891,750,"mean","Aberdeen"
1981,"A27","Bartlemuir/Target Woods",0.0790191370530711,750,"mean","Aberdeen"
652,"A28","Berwick Wood",0.0304881410267104,750,"mean","Aberdeen"
1341,"A29","Balmuir",0.0513434620164461,750,"mean","Aberdeen"
1215,"A30","Skene moss",0.0270005487384732,750,"mean","Aberdeen"
