"variable","meanSD","valueMeasure","meanSPE"
"Evergreen Needleleaf Forest",252.831140171176,"Heterogeneity",NA
"Cropland",353.179340684314,"Heterogeneity",NA
"Tall Grassland",0.911264558828895,"Heterogeneity",NA
"Short Grassland",9997.07350425338,"Heterogeneity",NA
"Open Shrubland",827.593536233063,"Heterogeneity",NA
"Permanent Wetland",2808.40708645165,"Heterogeneity",NA
"Human Settlements",2431.58405332521,"Heterogeneity",NA
"Other",771.665198532719,"Heterogeneity",NA
"Distance to Woodland",0.013421915127883,"Heterogeneity",NA
"Distance to Hedges",0.00192131843828011,"Heterogeneity",NA
"Road Crossing",417.646814274766,"Heterogeneity",NA
"sl_",0.000927569564119122,"Heterogeneity",NA
"log sl_ ",0.0778725589675121,"Heterogeneity",NA
"cos ta_ ",0.309286543400064,"Heterogeneity",NA
