"Mean","LCI","UCI","variable","Animal_ID","sig","variableType","colour","Animal_ID_colour"
-0.0715816794679034,-0.310902614695504,0.167739255759698,"Evergreen Needleleaf Forest","<b>Population</b>","Not Significant","Landuse","#505050","<i style='color:#505050'><b>Population</b></i>"
-0.19113836554044,-0.560840871424338,0.178564140343457,"Cropland","<b>Population</b>","Not Significant","Landuse","#505050","<i style='color:#505050'><b>Population</b></i>"
-0.298961076394676,-0.572202922492213,-0.0257192302971392,"Tall Grassland","<b>Population</b>","Significant -","Landuse","#E79559","<i style='color:#E79559'><b>Population</b></i>"
-0.884292189594585,-1.72118485543846,-0.0473995237507137,"Short Grassland","<b>Population</b>","Significant -","Landuse","#E79559","<i style='color:#E79559'><b>Population</b></i>"
0.0284218190268233,-0.632689292638956,0.689532930692603,"Open Shrubland","<b>Population</b>","Not Significant","Landuse","#505050","<i style='color:#505050'><b>Population</b></i>"
1.08684927639878,1.08360265680037,1.09009589599719,"Permanent Wetland","<b>Population</b>","Significant +","Landuse","#B54D17","<i style='color:#B54D17'><b>Population</b></i>"
-1.61191981512033,-1.63034843587169,-1.59349119436898,"Human Settlements","<b>Population</b>","Significant -","Landuse","#E79559","<i style='color:#E79559'><b>Population</b></i>"
0.202535642083445,-0.522474929113212,0.927546213280101,"Other","<b>Population</b>","Not Significant","Landuse","#505050","<i style='color:#505050'><b>Population</b></i>"
-0.00513416141348387,-0.00949302523488489,-0.000775297592082843,"Distance to Woodland","<b>Population</b>","Significant -","Distance","#E79559","<i style='color:#E79559'><b>Population</b></i>"
-0.000869282515561524,-0.00190808647273136,0.000169521441608315,"Distance to Hedges","<b>Population</b>","Not Significant","Distance","#505050","<i style='color:#505050'><b>Population</b></i>"
-0.51442907635429,-0.806762842963736,-0.222095309744843,"Road Crossing","<b>Population</b>","Significant -","Other","#E79559","<i style='color:#E79559'><b>Population</b></i>"
0.00108366377924806,0.00062609223898809,0.00154123531950804,"sl_","<b>Population</b>","Significant +","Step","#B54D17","<i style='color:#B54D17'><b>Population</b></i>"
0.0245326188136604,-0.00420563648441514,0.0532708741117359,"log sl_ ","<b>Population</b>","Not Significant","Step","#505050","<i style='color:#505050'><b>Population</b></i>"
-0.435773849407589,-0.581129841953258,-0.29041785686192,"cos ta_ ","<b>Population</b>","Significant -","Other","#E79559","<i style='color:#E79559'><b>Population</b></i>"
